NOMBRE,GRAD_Y,GRAD_X
"AUDIENCIA PROVINCIAL CIVIL",28.4600529428,-16.2513362572
"OFICINA DE EXTENSION AGRARIA",28.46239801,-16.27328422
"COLEGIO OFICIAL DE FISIOTERAPEUTAS",28.4666585118,-16.255250486
"COLEGIO OFICIAL DE INGENIEROS AGRONOMOS",28.4762154501,-16.2483116611
"COLEGIO OFICIAL DE INGENIEROS INDUSTRIALES",28.4796258475,-16.243947584
"COLEGIO OFICIAL DE FARMACEUTICOS",28.4716805753,-16.2554897002
"NOTARIA OLMEDO CASTANEDA",28.4671969594,-16.2512393709
"NOTARIA GONZALEZ DE VALLEJO GONZALEZ",28.4687368598,-16.2487217918
"CONSULADO DE REPUBLICA DOMINICANA",28.467689,-16.2492305875
"CONSULADO DE AUSTRIA",28.4699907965,-16.2587426854
"CONSULADO DE HONDURAS",28.4665304522,-16.2536508248
"CONSULADO DE PORTUGAL",28.4647260797,-16.2631497928
"COLEGIO OFICIAL DE MEDIADORES DE SEGUROS TITULADOS",28.4674101389,-16.2506644054
"COLEGIO OFICIAL DE SECRETARIOS INTERVENTORES Y TESOREROS DE LA ADMINISTRACION",28.4671709391,-16.2500612511
"JUZGADOS DE LO PENAL",28.4600656993,-16.2512546154
"JUZGADOS DE VIGILANCIA PENITENCIARIA",28.4600274297,-16.2512137945
"JUZGADOS DE MENORES",28.4600988663,-16.2511040882
"TACO TENENCIA ALCALDIA LA LAGUNA",28.4457035194,-16.2977549348
"OFICINA DE ATENCION E INFORMACION MUNICIPAL SCT",28.4430805497,-16.3117176208
"REGISTRO DE LA PROPIEDAD INTELECTUAL",28.46439617,-16.26620348
"TRIBUNAL SUPERIOR DE JUSTICIA SALA SOCIAL",28.4681329324,-16.2492110184
"REGISTRO CIVIL",28.4599999129,-16.2508336725
"OFICINA DE CORREOS",28.45273199,-16.293947
"AUDIENCIA PROVINCIAL PENAL",28.4599661983,-16.2511704222
"AYUNTAMIENTO DE SANTA CRUZ DE TENERIFE",28.4698153201,-16.2546994196
"AYUNTAMIENTO DE SANTA CRUZ",28.4698153201,-16.2546994196
"SUBDELEGACION DEL GOBIERNO",28.4694891803,-16.2549298579
"OFICINA DE CORREOS",28.4640713776,-16.2724555366
FEMETE,28.45633782,-16.30150003
"OFICINA DE CORREOS",28.47038299,-16.25606
"CONSULADO DE INDIA",28.467777597,-16.2498035916
"CONSULADO DE ITALIA",28.4656955671,-16.249214479
"GOBIERNO DE CANARIAS",28.4467985774,-16.2935422814
"CEMENTERIO SAN LUIS",28.46823599,-16.333097
"TGSS TESORERIA GENERAL DE LA SEGURIDAD SOCIAL",28.45079705,-16.27342881
"OFICINA DE CORREOS",28.44889499,-16.298454
"TGSS RECAUDACION EJECUTIVA 1",28.46856299,-16.249386
"TANATORIO SANTA LASTENIA",28.44745299,-16.278461
"OFICINA DE CORREOS",28.49686799,-16.226179
"OFICINA DE CORREOS",28.45478099,-16.284496
"OFICINA DE CORREOS",28.45919799,-16.253942
"GOBIERNO DE CANARIAS",28.4528133879,-16.2677865106
"TANATORIO HU NUESTRA SENORA DE LA CANDELARIA",28.44829699,-16.284218
"OFICINA DE CORREOS",28.45514499,-16.272594
"ASOCIACION CANARIA DE INGENIEROS DE TELECOMUNICACION",28.4703942309,-16.252397083
"COLEGIO NOTARIAL DE LAS ISLAS CANARIAS",28.4683676378,-16.2513007342
"COLEGIO OFICIAL DE TRABAJO SOCIAL Y ASISTENTES SOCIALES",28.4727152613,-16.2519037261
"NOTARIA CABELLO MESTRES",28.4674430725,-16.2511005089
"NOTARIA AZNAR ONDONO",28.4675785476,-16.2504378098
"REGISTRO DE LA PROPIEDAD DE SANTA CRUZ DE TENERIFE 01",28.45630799,-16.25785633
"CONSULADO DE BELGICA",28.4678782754,-16.248325057
"CONSULADO DE GUATEMALA",28.4675951463,-16.2489297229
"CONSULADO DE PERU",28.4674062497,-16.250006099
"TGSS DIRECCION PROVINCIAL",28.46135131,-16.25067804
"OFICINA DE CORREOS",28.42620507,-16.2983821266
"INSS CENTRO URBANO 1",28.46129399,-16.250744
"INSS SERVICIO JURIDICO",28.46124099,-16.250881
"COLEGIO OFICIAL DE QUIMICOS DE CANARIAS",28.4674240375,-16.2602815929
"SERVICIOS CANARIO DE EMPLEO",28.4556616335,-16.278961854
"COLEGIO OFICIAL DE AGENTES DE LA PROPIEDAD INMOBILIARIA",28.4678052778,-16.2578806423
"COLEGIO OFICIAL DE VETERINARIOS",28.4699097974,-16.260753457
"COLEGIO OFICIAL DE MEDICOS",28.470346525,-16.2610689742
"COLEGIO OFICIAL DE ENFERMERIA",28.4733390128,-16.2505241539
"COLEGIO OFICIAL DE DENTISTAS",28.4669299914,-16.2529498255
"OFICINA DE CORREOS",28.4663221057,-16.247574156
"TRIBUNAL SUPERIOR DE JUSTICIA SALA CONTENCIOSO ADMINISTRATIVO",28.4682081971,-16.2492024159
"COLEGIO OFICIAL DE INGENIEROS TECNICOS Y PERITOS AGRICOLAS",28.4656634925,-16.2624113512
"COLEGIO OFICIAL DE TITULADOS MERCANTILES",28.4747966495,-16.2507007878
"VISOCAN RECAUDACION VIVIENDAS",28.4449944383,-16.3098243367
"EDIFICIO PUBLICO",28.46739396,-16.24974565
"CABILDO",28.4660835,-16.247078699999975
"CABILDO INSULAR",28.4660835,-16.247078699999975
