NOMBRE,GRAD_Y,GRAD_X
"DISTRIBUIDORA ATLANTICA DE VINOS",28.44379961,-16.28090896
"CORREA Y DAVI",28.44342589,-16.28119993
"COMERCIAL JESUMAN",28.44311121,-16.28151026
"CONGELADOS RABERSA",28.49542893,-16.21673568
"MAKRO AUTOSERVICIO MAYORISTA",28.45686564,-16.30461719
"SUPERMERCADO TU TREBOL",28.44144657,-16.28439830
"SUPERMERCADO LA UNION",28.44051611,-16.32233511
"PASTELERIA DIAZ",28.44162123,-16.31469444
"JAIME LLORCA",28.49837240,-16.20473870
"HORNO DE PAN",28.47133503,-16.27392555
"D GAMONAL",28.46900275,-16.25073014
"PUESTO DE CARMITA",28.46302999,-16.25210700
TENEDRINK,28.45137139,-16.29302135
ROSAPESCA,28.49916629,-16.20318748
"RIZO Y REYES",28.49773958,-16.20595846
"ORGANIZACION DE PRODUCTORES DE TUNIDOS Y PESCA FRESCA DE TENERIFE",28.49886904,-16.20200407
"CONGELADOS 5 OCEANOS",28.44803199,-16.29777100
"FRIGORIFICOS FRANT",28.49933487,-16.20285903
"COMERCIAL ESCORPIO",28.49656275,-16.20795901
"PESCADOS GOYO",28.49677247,-16.20793854
"RIZO Y REYES",28.49786983,-16.20571465
"RIZO Y REYES",28.49718365,-16.20702559
"LONJA PESQUERA DEL PUERTO",28.49878298,-16.20381251
"DISTRIBUCIONES Y EXCLUSIVIDADES CASANOVA",28.45791043,-16.30030322
"SALAZONES CAIROS",28.45898472,-16.30036727
"SALAZONES CAIROS",28.45882391,-16.30043919
"CASH VALVERDE",28.45104612,-16.27312357
"HERBOLARIO NUEVA ERA",28.46721158,-16.25903618
"POLLOS ASADOS NANO",28.46076922,-16.25602487
"CASA RICARDO",28.44134566,-16.28395358
"DINOSOL SUPERMERCADOS HIPERDINO",28.44273029,-16.28192707
"SUPERMERCADO TU TREBOL",28.44136292,-16.28351342
"TARTERIA",28.44127430,-16.28402008
"COMERCIAL JESUMAN",28.44287944,-16.28095523
"CANARIAS LOTES",28.44638816,-16.28669884
"COMERCIAL JESUMAN",28.44050895,-16.28263649
"TEMPLO CAFES",28.44422657,-16.28117789
CUMBA,28.44268253,-16.28382916
BIOMERKALIA,28.44302204,-16.28478370
BIOMERKALIA,28.44324790,-16.28448120
BIOMERKALIA,28.44313760,-16.28462892
"DULCERIA SAGITARIO",28.47173852,-16.26887661
"MERCA HUERTA",28.45475950,-16.27295853
"CHARCUTERIA LA ABEJERA",28.45474826,-16.27287542
"COMIDAS PARA LLEVAR ALICIA",28.45474264,-16.27282641
"CARNICERIA LA ABEJERA",28.45473702,-16.27278592
"PESCADERIA LA ABEJERA",28.45472203,-16.27302460
"QUESERIA CUNACEN",28.45470704,-16.27287969
"CONGELADOS LA ABEJERA",28.45468268,-16.27277740
DELIKATESSEN,28.45468455,-16.27273904
"SWEET BAKERY TENERIFE",28.45460568,-16.30028205
"COMERCIAL JESUMAN",28.44009410,-16.28321092
"COMERCIAL JESUMAN",28.44086398,-16.28267251
"CAFE MOCAY",28.43797884,-16.28326075
"QUELIA GUTIERRES QUESADA",28.46322099,-16.25170400
"PASTELERIA LOPEZ ECHETO",28.47275212,-16.25597074
"SUPERMERCADO MERCADONA",28.45318041,-16.29724593
"AUTOSERVICIO RODRY",28.44177938,-16.31738647
"SUPERMERCADO ECOSOL",28.46822801,-16.26440648
"SUPERMERCADO CARREFOUR",28.45691499,-16.25875700
"SUPERMERCADO HIPERDINO",28.46566799,-16.27479600
"SUPERMERCADO HIPERDINO",28.46702005,-16.26143415
"SUPERMERCADO RADEVI",28.45263599,-16.27662500
"SUPERMERCADO HIPERDINO",28.46305299,-16.25194100
"SUPERMERCADO MERCADONA",28.44460999,-16.30100400
"CORREA Y DAVI",28.44327031,-16.28135704
"VEGA Y GIJON",28.44203828,-16.28174045
"GARPA ALIMENTACION",28.44452831,-16.27947000
"CASH CARRY ALVAREZ",28.44964307,-16.27631260
"PESCADOS RAMON E HIJOS",28.49902493,-16.19862713
DIALTE,28.43879568,-16.28336307
"GROS MERCAT GM",28.44411659,-16.28350193
