NOMBRE,GRAD_Y,GRAD_X
"IGLESIA SAN PIO X",28.45053139,-16.28279437
"IGLESIA SAN ANTONIO DE PADUA",28.45037758,-16.28770115
"IGLESIA SANTA TERESA DE JESUS",28.45827593,-16.27955280
"IGLESIA NUESTRA SENORA DE LA CONCEPCION",28.46441210,-16.24897705
"CAPILLA ORDEN TERCERA",28.46789787,-16.24956933
"IGLESIA SAN FRANCISCO DE ASIS",28.46796364,-16.24928254
"IGLESIA HOGAR ESCUELA MARIA AUXILIADORA",28.47173154,-16.24910174
"IGLESIA SAN AGUSTIN",28.45447826,-16.28099469
"IGLESIA SAN JOSE",28.47493484,-16.24946023
"IGLESIA SAN JOSE DE ANCHIETA",28.47919707,-16.24439778
"IGLESIA SAN ANDRES APOSTOL",28.50517983,-16.19295268
"IGLESIA SAN MARTIN DE PORRES",28.44933795,-16.27422011
"ERMITA SAN TELMO",28.46276166,-16.24892970
"IGLESIA NUESTRA SENORA DEL PILAR",28.46928661,-16.25199022
"IGLESIA MARIA AUXILIADORA",28.46674084,-16.25885133
"TEMPLO SAN JORGE",28.47058551,-16.25536622
"IGLESIA SAGRADO CORAZON",28.47078829,-16.25998758
"IGLESIA NUESTRA SENORA DE FATIMA",28.47021694,-16.26661333
"IGLESIA SAN JUAN DE LA CRUZ",28.45420836,-16.27757054
"IGLESIA SAN JUAN EVANGELISTA",28.46825351,-16.27901695
"IGLESIA SAN JERONIMO",28.44870490,-16.29795749
"IGLESIA SAN LUIS GONZAGA",28.44560770,-16.29611207
"IGLESIA SAN FERNANDO REY",28.45537863,-16.27310037
"IGLESIA CRUZ DEL SENOR",28.46537201,-16.27197504
"IGLESIA SANTA MARIA MADRE DE JESUS",28.45060017,-16.30065705
"IGLESIA NUESTRA SENORA DEL CARMEN",28.44002530,-16.32304460
"IGLESIA SANTA MARIA DE ANAZA",28.42487376,-16.29853650
"IGLESIA NUESTRA SENORA DEL ROSARIO",28.42517595,-16.33376177
"IGLESIA SAN GERARDO",28.47172917,-16.27335353
"IGLESIA SAN ALFONSO MARIA LIGORIO",28.45982437,-16.26803847
"IGLESIA SAN SEBASTIAN MARTIR",28.46416613,-16.25510778
"IGLESIA SANTA MARIA DEL MAR",28.42504454,-16.30739089
"ERMITA NUESTRA SENORA DE REGLA",28.45692243,-16.25212250
"IGLESIA NUESTRA SENORA DE LA SALUD",28.46929574,-16.27076039
"IGLESIA MARIA INMACULADA Y BEATO MANUEL GARCIA",28.43159235,-16.30915264
"IGLESIA NUESTRA SENORA DEL CAMINO",28.45768451,-16.28613363
"IGLESIA SAN JUAN EVANGELISTA",28.49293142,-16.22635927
"IGLESIA NUESTRA SENORA DEL ROSARITO",28.44041717,-16.30120603
"IGLESIA SANTISIMO CRISTO DE LA GALLEGA Y EL PILAR",28.43122478,-16.32061555
"IGLESIA SAN FELIPE APOSTOL",28.43822055,-16.30810133
"IGLESIA NUESTRA SENORA DEL CARMEN",28.48731251,-16.23762312
"IGLESIA NUESTRA SENORA DE LA MERCED",28.43586377,-16.30513153
"CAPILLA HOSPITAL NUESTRA SENORA DE LA CANDELARIA",28.44832637,-16.28451855
"IGLESIA SANTA BARBARA MARTIR",28.45813193,-16.27317461
"IGLESIA SANTIAGO APOSTOL",28.47065741,-16.27876628
"IGLESIA SAN PEDRO",28.52555348,-16.15390217
"IGLESIA NUESTRA SENORA DE LAS NIEVES",28.56049676,-16.21696055
"IGLESIA SAN MIGUEL ARCANGEL",28.45546813,-16.29954875
"IGLESIA SAN MARTIN DE PORRES",28.44961558,-16.30543050
"IGLESIA SANTISIMO REDENTOR",28.46122657,-16.30206434
"IGLESIA SAN MIGUEL ARCANGEL",28.46682934,-16.31682068
"IGLESIA SAN FRANCISCO DE PAULA",28.46463311,-16.32770598
"IGLESIA LA SANTA CRUZ Y SAN ALBINO",28.44519261,-16.30433298
"IGLESIA SAN ROQUE",28.48412029,-16.24479630
"IGLESIA SANTO HERMANO PEDRO DE SAN JOSE DE BETANCUR",28.45579474,-16.25581090
"COMUNIDAD BUDISTA SOTO ZEN CANARIAS",28.46711307,-16.25779735
"COMUNIDAD BAHA I SANTA CRUZ DE TENERIFE",28.47105377,-16.26622354
"COMUNIDAD REGIONAL BAHA ISLAS CANARIAS",28.47107103,-16.26625189
"COMUNIDAD MUSULMANA TENERIFE",28.46948139,-16.26281242
"MISION CRISTIANA CANARIA",28.46551696,-16.27216093
"IGLESIA CRISTIANA EVANGELICA EBEN-EZER LA CUESTA",28.44344803,-16.29777020
"IGLESIA LIGA EVANGELICA TENERIFE",28.46797490,-16.25964079
"IGLESIA CRISTIANA EVANGELICA PALABRA DE VIDA UNIVERSAL",28.46539320,-16.27073957
"IGLESIA PENTECOSTAL BUENAS NUEVAS UNIVERSAL",28.46692029,-16.26556220
"IGLESIA CRISTIANA EVANGELICA SANTA CRUZ DE TENERIFE",28.46072490,-16.27152247
"MISION CANARIA PRO OBREROS",28.45533435,-16.27083864
"IGLESIA EVANGELICA TENER-FE DIOS ES AMOR",28.46645672,-16.26565243
"IGLESIA CRISTIANA EVANGELICA JESUS ES VIDA",28.46832876,-16.26420683
"PRIMERA IGLESIA EVANGELICA BAUTISTA TENERIFE",28.46472654,-16.26706791
"IGLESIA CRISTO EL REY",28.44975288,-16.28787244
"IGLESIA EVANGELICA HERMANOS LA LAGUNA",28.46869023,-16.26304943
"IGLESIA EVANGELICA DE LA GRACIA TENERIFE",28.43746703,-16.31871019
"ERMITA INMACULADA CONCEPCION",28.56870994,-16.15930755
"ERMITA SANTIAGO APOSTOL",28.56281776,-16.15381730
