NOMBRE,GRAD_Y,GRAD_X
"IGUESTE DE SAN ANDRES",28.5388712223,-16.164973018
VALLESECO,28.5016481037,-16.244637817
"LOS CAMPITOS",28.4851829752,-16.2667995069
ACORAN,28.416015347,-16.305369708
"LA GALLEGA",28.4315053058,-16.322699494
"SAN SEBASTIAN",28.4643219484,-16.2542188663
"LA SALLE",28.4615900695,-16.259703833
"LA VICTORIA",28.4591475325,-16.2608343108
DUGGI,28.4660999273,-16.2589317485
URUGUAY,28.46903065,-16.266634917
"EL TABLERO",28.4272680067,-16.3343155933
"EL CHORRILLO",28.421265772,-16.3169805508
MORADITAS,28.4390786123,-16.2898910406
MAYORAZGO,28.4430088007,-16.2823223036
TOSCAL,28.472897882,-16.2491998695
IFARA,28.4801861419,-16.2572646546
"URBANIZACION ANAGA",28.4800483247,-16.2490234842
"LOS LAVADEROS",28.4754099419,-16.2523863411
"CUEVA BERMEJA",28.500956923,-16.2168923254
"MARIA JIMENEZ",28.5162345059,-16.2321578824
"LA ALEGRIA",28.4844404103,-16.2435788541
"VALLE TAHODIO",28.5107468257,-16.2661510213
"SAN ANDRES",28.5252241884,-16.1979077289
SUCULUM,28.5121220274,-16.1891283471
"LOMO DE LAS BODEGAS",28.5534710818,-16.141977772
CHAMORGA,28.5751197183,-16.1515329145
ALMACIGA,28.5711913507,-16.1777133585
"EL BAILADERO",28.5498031016,-16.2040508507
"CASAS DE LA CUMBRE",28.5293319815,-16.2508661288
TAGANANA,28.5579508284,-16.2145193321
TABORNO,28.5621603268,-16.2642148713
AFUR,28.5545712195,-16.2440986156
"ROQUE NEGRO",28.540873517,-16.2517080845
"BARRIO NUEVO",28.473969658,-16.2680655074
"LA SALUD",28.4716922505,-16.2741061392
BUENAVISTA,28.4665665549,-16.2678844314
"CRUZ DEL SEÑOR",28.4634510283,-16.2725227451
"CUESTA PIEDRA",28.4676249895,-16.279872248
"EL PERU",28.4658660529,-16.2738819386
"VILLA BENITEZ",28.4638664102,-16.2806493116
"LOS GLADIOLOS",28.4603188981,-16.2683449891
SOMOSIERRA,28.4571481271,-16.2704932103
CHIMISAY,28.4568805366,-16.2819477092
"LAS DELICIAS",28.4525335925,-16.2817467861
"TIO PINO",28.4599886455,-16.27321304
MIRAMAR,28.4546723988,-16.2774011713
"CESAR CASARIEGO",28.4576982862,-16.2853463998
"JUAN XXIII",28.4495176527,-16.2859443268
"LAS RETAMAS",28.4510229497,-16.2872665703
"NUEVO OBRERO",28.4498157939,-16.2894853554
CHAMBERI,28.4499480471,-16.2744293386
AÑAZA,28.4247577845,-16.2985945874
TINCER,28.444150879,-16.3043967708
"BARRANCO GRANDE",28.4352292726,-16.3074636054
"EL SOBRADILLO",28.4437416723,-16.3185992875
"SANTA MARIA DEL MAR",28.4237524904,-16.3090272978
ALISIOS,28.4289400841,-16.308613782
"LLANO DEL MORO",28.442609998,-16.3303693687
"BUENOS AIRES",28.4426610577,-16.276255784
"LOS LLANOS",28.4560176668,-16.2557888006
CHAPATAL,28.463846126,-16.2652710974
BALLESTER,28.4613578515,-16.2786285063
"VILLA ASCENSION",28.4674228129,-16.2771396994
SALAMANCA,28.4696753892,-16.2629973541
"LAS ACACIAS",28.4731858502,-16.2656331214
"LAS MIMOSAS",28.4741620022,-16.2587477589
TRISTAN,28.4579679316,-16.2762604571
"CAMINO DEL HIERRO",28.4575122213,-16.2796119889
"GARCIA ESCAMEZ",28.454340784,-16.2743782422
"LAS CABRITAS",28.4499408736,-16.281444993
"SAN PIO X",28.4481970105,-16.2858064423
"SAN ANTONIO",28.4527985756,-16.2886240827
"FINCA LA MULTA",28.4554561437,-16.2897428645
"SANTA CLARA",28.4568124568,-16.287668656
VISTABELLA,28.4619887319,-16.2843713181
"CUATRO TORRES",28.4616501823,-16.2530552331
"EL CABO",28.4626556007,-16.2491949831
"LOS HOTELES",28.4701409993,-16.2563893091
"ZONA RAMBLA",28.4685435188,-16.2588118672
"ZONA CENTRO",28.4673559347,-16.249189888
TACO,28.446496,-16.3007398
