NOMBRE,GRAD_Y,GRAD_X
"LA ALDABA",28.46838546,-16.25186078
GINZA,28.46946596,-16.25242829
"MOON BIANCA",28.46933933,-16.26756637
DISFERCAN,28.44412022,-16.28104783
"BY CATY",28.46791099,-16.25168600
EDEN,28.47057399,-16.24995100
INVOGA,28.46784930,-16.25040515
ORLY,28.46754989,-16.24970201
"LENITA XTG",28.46964573,-16.25177688
"ARTENERIFE ARTESANIA DE TENERIFE",28.46779980,-16.24753378
"BAZAR MARTEL",28.45532321,-16.30413318
"COMERCIAL AV",28.45648498,-16.30197457
"CENTRO COMERCIAL GUAJARA",28.46034899,-16.30689200
"CENTRO COMERCIAL KYABI",28.46018599,-16.30497400
"EL CORTE INGLES CENTRO DE OPORTUNIDADES",28.45971591,-16.30537638
DIEXFE,28.45648498,-16.30197457
DORROSA,28.45559460,-16.30399327
JUMARPE,28.45542889,-16.30405878
ISLENIO,28.46673539,-16.24878273
"COMICS MIGIWARE",28.46816719,-16.25422852
SISMACON,28.42469019,-16.31889484
INTERSPORT,28.45899899,-16.25572200
CONFORAMA,28.45928324,-16.30514700
"FAGRO ELECTRODOMESTICOS SCL",28.45657391,-16.30358274
"MERCADILLO RASTRO DE SANTA CRUZ",28.46112125,-16.24986189
PRENATAL,28.45942516,-16.30548136
"PAPELERIA DA VINCI",28.46148605,-16.27543348
"CENTRO MOVIL CB",28.44567656,-16.29084305
"CENTRO MOVIL CB",28.44580035,-16.29082261
"MERKAL CALZADOS",28.45957571,-16.30542854
JUGUETOON,28.45723730,-16.25823265
"CERRAJERIA PEREZ",28.47098591,-16.27298727
"SELENE PESCA",28.45146599,-16.29798400
ZIGGY,28.44792606,-16.30606966
"KIOSCO MEGOLLA",28.44644850,-16.29738368
"KIOSCO REGAL",28.46836382,-16.24775612
CIENFRAGANCIAS,28.46791800,-16.25175400
"MERCADO DEL AGRICULTOR DE LAS MERCEDES",28.53106792,-16.28002423
"ESTANCO SAN JERONIMO",28.44838194,-16.29787927
"KIOSCO CANDE",28.46602741,-16.24802963
"KIOSCO COMICSERIA",28.46613009,-16.25642871
"HERRERA ALONSO EUROMUEBLES",28.45219474,-16.29316675
"EQUIPAMIENTOS HAMER",28.44726765,-16.29673727
CRILCA,28.44785431,-16.29346190
"CANARY COLCHON",28.44999138,-16.29418684
"DUALITA COSMETOLOGY",28.44668403,-16.29358323
SACCOS,28.46951702,-16.25184929
"QM DROGUERIA",28.50514890,-16.19252204
"MULTITIENDA HORMIGA",28.45249303,-16.28108881
"KIOSCO JUAN",28.46898081,-16.25056796
SAPHIRE,28.46769099,-16.26084900
"CASA COMPLETA AL PUBLICO",28.45801593,-16.30131926
"LA LIBRERIA DEL CABILDO",28.46799979,-16.26220542
"COMERCIAL ELECTRICA DE CANARIAS COELCA",28.44682107,-16.29571862
"HERRERA ALONSO EUROMUEBLES",28.45219474,-16.29316675
"NAUTICA Y DEPORTES TENERIFE",28.49955153,-16.20243761
DELPANIA8795,28.49994371,-16.20279708
