NOMBRE,GRAD_Y,GRAD_X
"IES LAS INDIAS",28.4686289237,-16.2748356468
"CASA DE LA CULTURA",28.46450847,-16.26599136
"AUDITORIO DE TENERIFE ADAN MARTIN",28.45609409,-16.25146942
"TEATRO GUIMERA",28.46589035,-16.25045469
"CENTRO CULTURAL TAMARAGUA",28.42492706,-16.33572108
"TEATRO CINE VICTOR",28.46770703,-16.26118848
"PICCOLO ACADEMIS DE MUSICA",28.46962831,-16.26643064
"CEIP SAN ANDRES",28.5077711797,-16.1952625502
"PARQUE INFANTIL AMIGUITOS",28.46204876,-16.25359733
"MUSEO MUNICIPAL DE BELLAS ARTES",28.46823937,-16.24984563
"CASTILLO DE SAN CRISTOBAL",28.46697097,-16.24702089
"ACADEMIA DE MUSICA E INFORMATICA MUSICAL",28.46229599,-16.251716
"CPEIPS ACAYMO",28.45346557,-16.29939625
"MUSEO MILITAR REGIONAL DE CANARIAS",28.47536,-16.2476699
"ARTE GALERIA",28.46978038,-16.25358676
"CEIP LA SALUD",28.4699988508,-16.2766591771
"CPFP DEDALO",28.4657502651,-16.2542604398
"CSM CANARIAS",28.462638997,-16.278810644
"BIBLIOTECA MUNICIPAL SANTA CRUZ DE TENERIFE",28.46387429,-16.25077997
"LA CAIXA CAJACANARIAS CENTRO AJEDREZ",28.46437499,-16.270348
"CENTRO CULTURAL CAJACANARIAS",28.46976614,-16.25105703
"CENTRO DE ESTUDIOS",28.44718413,-16.3010163
"IES SAN ANDRES",28.5090462771,-16.1955500858
"CEIP LOS MENCEYES",28.4227558145,-16.3042228171
"CHAMOCROPOLIS PARQUE INFANTIL",28.46573453,-16.27196207
"PARQUE INFANTIL MAPIRISA",28.45539127,-16.28361502
"CASA DE LA POLVORA",28.4551306389,-16.2541351119
"PARQUE INFANTIL LUCAS PARK",28.47218703,-16.25605276
"CPEIPS VIRGEN DEL MAR",28.4264954165,-16.3060753875
"CPEIPS CERVANTES",28.4694784611,-16.2712972176
"CENTRO INFANTIL RISITAS",28.437948325,-16.3017696931
"CEIP MATIAS LLABRES VERD",28.4405325233,-16.3350392209
"CEIP LAS CHUMBERAS",28.4626577523,-16.3012034452
"CPEI TAGOROR",28.421901751,-16.2990876279
