FID,NOMBRE,AUTOR,PROCAUTOR,MATERIAL,DOCUMENTO,CRONO_AUTO,GEOCODIGO,UBICACIÓN,UTM_X,UTM_Y,GRAD_X,GRAD_Y
0.0,SIN TÍTULO,JAIME CUBELLS,BARCELONA,HORMIGON PIGMENTADO DE NEGRO,http://www.santacruzdetenerife.es/fileadmin/user_upload/Archivos_para_descargar/Libros_digitales/rutaesculturas.pdf#page=12,1930,ESC_0005,PARQUE GARCÍA SANABRIA,377302.010542,3150311.29435,-16.2533817075,28.4736371711
1.0,INTROVERSIÓN,JOSÉ MARÍA SUBIRACHS,BARCELONA,HORMIGON ARMADO,http://www.santacruzdetenerife.es/fileadmin/user_upload/Archivos_para_descargar/Libros_digitales/rutaesculturas.pdf#page=12,1957-2014,ESC_0004,PARQUE GARCÍA SANABRIA,377293.222966,3150254.691,-16.253465426,28.4731255268
2.0,HOMENAJE A GAUDÍ,EDUARDO PAOLOZZI,EDIMBURGO,HORMIGON ARMADO PREFABRICADO,http://www.santacruzdetenerife.es/fileadmin/user_upload/Archivos_para_descargar/Libros_digitales/rutaesculturas.pdf#page=13,1924-2005,ESC_0006,PARQUE GARCÍA SANABRIA,377262.134358,3150228.89408,-16.2537801886,28.4728897953
3.0,ESTELA ESPACIAL,AMADEO GABINO,VALENCIA,ACERO INOXIDABLE,http://www.santacruzdetenerife.es/fileadmin/user_upload/Archivos_para_descargar/Libros_digitales/rutaesculturas.pdf#page=19,1922-2004,ESC_0015,PARQUE GARCÍA SANABRIA,377159.18675,3150083.00262,-16.254816043,28.4715634999
4.0,MONUMENTO AL GATO,OSCAR DOMINGUEZ,LA LAGUNA,"PIEDRA,CEMENTO,CRISTAL, HIERRO",http://www.santacruzdetenerife.es/fileadmin/user_upload/Archivos_para_descargar/Libros_digitales/rutaesculturas.pdf#page=10,1906-1957,ESC_0003,PARQUE GARCÍA SANABRIA,377312.779318,3150163.93613,-16.2532560275,28.4723083498
5.0,HOMENAJE A LAS ISLAS CANARIAS,PABLO SERRANO,TERUEL,HORMIGÓN,http://www.santacruzdetenerife.es/fileadmin/user_upload/Archivos_para_descargar/Libros_digitales/rutaesculturas.pdf#page=15,1910-1985,ESC_0009,PARQUE GARCÍA SANABRIA,377204.672622,3150185.35398,-16.2543624089,28.4724914556
6.0,DADO PARA TRECE,REMIGIO MENDIBURU,GUIPUZCOA,HORMIGÓN ARMADO,http://www.santacruzdetenerife.es/fileadmin/user_upload/Archivos_para_descargar/Libros_digitales/rutaesculturas.pdf#page=15,1931-1990,ESC_0008,PARQUE GARCÍA SANABRIA,377200.081526,3150205.75993,-16.2544114737,28.4726751767
7.0,SIN TÍTULO,FEDERICO ASSLER,SANTIAGO DE CHILE,HORMIGÓN,http://www.santacruzdetenerife.es/fileadmin/user_upload/Archivos_para_descargar/Libros_digitales/rutaesculturas.pdf#page=21,1929,ESC_0018,PARQUE GARCÍA SANABRIA,377152.053606,3150158.248,-16.2548969188,28.4722418796
8.0,LABERINTO HOMENAJE A BORGES,GUSTAVO TORNÉR,CUENCA,HORMIGÓN,http://www.santacruzdetenerife.es/fileadmin/user_upload/Archivos_para_descargar/Libros_digitales/rutaesculturas.pdf#page=20,1925,ESC_0016,PARQUE GARCÍA SANABRIA,377115.031182,3150139.97065,-16.25527308,28.4720734461
9.0,HOMENAJE A MILLARES,CLAUDE VISEUX,FRANCIA,ACERO INOXIDABLE Y HORMIGON,http://www.santacruzdetenerife.es/fileadmin/user_upload/Archivos_para_descargar/Libros_digitales/rutaesculturas.pdf#page=16,1927-2008,ESC_0010,PARQUE GARCÍA SANABRIA,377183.90203,3150135.08463,-16.25456918,28.4720358429
10.0,SIN TÍTULO,JOSÉ GUINOVART,BARCELONA,"HIERRO, HORMIGÓN Y LATÓN",http://www.santacruzdetenerife.es/fileadmin/user_upload/Archivos_para_descargar/Libros_digitales/rutaesculturas.pdf#page=17,1927-2007,ESC_0011,PARQUE GARCÍA SANABRIA,377221.72111,3150120.55132,-16.2541813841,28.4719082498
11.0,SOLIDARIDAD,MARK MACKEN,BÉLGICA,HORMIGÓN Y CADENA DE HIERRO,http://www.santacruzdetenerife.es/fileadmin/user_upload/Archivos_para_descargar/Libros_digitales/rutaesculturas.pdf#page=19,1913-1977,ESC_0014,PARQUE GARCÍA SANABRIA,377206.085526,3150067.66752,-16.2543354326,28.4714295269
12.0,SIGNOS DE LO NATURAL,GONZALO GONZALEZ,LOS REALEJOS,BRONCE PATINADO,http://www.santacruzdetenerife.es/fileadmin/user_upload/Archivos_para_descargar/Libros_digitales/rutaesculturas.pdf#page=6,1950,ESC_0001,PARQUE GARCÍA SANABRIA,377328.426326,3150077.77557,-16.2530870477,28.4715322659
13.0,LA FECUNDIDAD,FRANCISCO BORGES SALAS,SC DE TENERIFE,PIEDRA,http://www.santacruzdetenerife.es/fileadmin/user_upload/Archivos_para_descargar/Libros_digitales/rutaesculturas.pdf#page=8,1901-1994,ESC_0002,PARQUE GARCÍA SANABRIA,377269.670686,3150130.6842,-16.2536927546,28.4720042095
14.0,LAS ESTACIONES,ANONIMO,VENECIA,PIEDRA,http://www.santacruzdetenerife.es/fileadmin/user_upload/Archivos_para_descargar/Libros_digitales/rutaesculturas.pdf#page=13, ,ESC_0007,PARQUE GARCÍA SANABRIA,377235.090334,3150200.73733,-16.2540533907,28.4726331479
15.0,ADOLESCENTE,ELADIO DE LA CRUZ,LA LAGUNA,BRONCE,http://www.santacruzdetenerife.es/fileadmin/user_upload/Archivos_para_descargar/Libros_digitales/rutaesculturas.pdf#page=21,1934,ESC_0019,PARQUE GARCÍA SANABRIA,377143.86839,3150179.34734,-16.2549827652,28.4724315192
16.0,HOMENAJE A D. DIEGO CROSA,NICOLÁS GRANADOS RAIMUNDO,CÓRDOBA,BRONCE,http://www.santacruzdetenerife.es/fileadmin/user_upload/Archivos_para_descargar/Libros_digitales/rutaesculturas.pdf#page=17,1900-1942,ESC_0012,PARQUE GARCÍA SANABRIA,377198.718454,3150106.11004,-16.2544147706,28.4717757576
