NOMBRE,GRAD_Y,GRAD_X
"FARMACIA LUÑO",28.4864107422,-16.2371939752
"FARMACIA LOS CAMPITOS",28.4853219231,-16.261897426
"FARMACIA TRIVIÑO",28.4355571341,-16.3194586366
"FARMACIA BUENO-FELIPE",28.4319949913,-16.3208528623
"FARMACIA GONZALEZ ARQUEROS",28.4637963943,-16.2529962082
"FARMACIA MONJE",28.4625104019,-16.2582268699
"FARMACIA FERIA",28.4586979749,-16.2633210193
"FARMACIA DURANA",28.4616318892,-16.2613211242
"FARMACIA LA SALLE",28.4603400767,-16.2572353859
"FARMACIA GONZALEZ",28.4583613287,-16.2620126851
"FARMACIA GONZALEZ ARROYO",28.4676564793,-16.2605373593
"FARMACIA EL CHINITO",28.4674477963,-16.2581663171
"FARMACIA DUGGI",28.4661962383,-16.259307903
"FARMACIA BENCOMO DUQUE",28.4234988528,-16.333155666
"FARMACIA LAS MORADITAS",28.4461465714,-16.2907811365
"FARMACIA GONZALEZ ETAYO",28.4723308996,-16.2519103807
"FARMACIA MENCEY",28.4736158174,-16.2531557916
"FARMACIA PELAEZ PARAMO",28.4739674229,-16.2507049375
"FARMACIA CB SUAREZ",28.471340794,-16.2495828028
"FARMACIA SANZ DOBLADO",28.4728664095,-16.248522415
"FARMACIA ANAGA",28.4788032281,-16.2433438649
"FARMACIA FERNANDEZ",28.4757375186,-16.2494849146
"FARMACIA MARIA JIMENEZ",28.49413699,-16.226383
"FARMACIA GONZALEZ LUIS",28.4836725392,-16.2450518331
"FARMACIA DE LUGO FERNANDEZ",28.5049963277,-16.1926812133
"FARMACIA MESTRES IZQUIERDO",28.4717503416,-16.2688153636
"FARMACIA SALUD ALTO",28.4722691482,-16.2770614474
"FARMACIA SANTANA PAGES",28.4696544074,-16.2716691852
"FARMACIA ESPINOSA",28.469673599,-16.2699247235
"FARMACIA SALUD MEDIO",28.470523556,-16.2744193523
"FARMACIA RIVERA VILLALBA",28.4662430752,-16.2668050244
"FARMACIA CRUZ DEL SEÑOR",28.4651868444,-16.2699993562
"FARMACIA GARCIA RAMOS",28.4640785027,-16.2723925312
"FARMACIA PERU",28.4661295469,-16.2743175623
"FARMACIA LAS INDIAS AURELIA",28.4672537932,-16.2725826291
"FARMACIA ELORRIETA",28.4645378253,-16.2774717294
"FARMACIA GLADIOLOS",28.4611751653,-16.2724067493
"FARMACIA GALVAN",28.4585215711,-16.2656399168
"FARMACIA SOMOSIERRA",28.45905699,-16.271669
"FARMACIA OFRA",28.4558429222,-16.2810421895
"FARMACIA CABRERA",28.4519218165,-16.2812159847
"FARMACIA LAS DELICIAS",28.4525658259,-16.2839601672
"FARMACIA JIMENEZ BETHENCOURT",28.4581977179,-16.2842010611
"FARMACIA JUAN XXIII",28.4501602826,-16.2851846134
"FARMACIA AÑAZA",28.42702229,-16.29864565
"FARMACIA CENTRAL",28.4255609,-16.30128708
"FARMACIA GRACIA PIMIENTA",28.4431854142,-16.3037385404
"FARMACIA RECALDE ASTARLOA",28.4375625798,-16.3060415984
"FARMACIA LA ASOMADITA",28.44139353,-16.3183263878
"FARMACIA EL SOBRADILLO",28.4423776598,-16.3139706073
"FARMACIA PEREZ BATISTA",28.4265561983,-16.3070754031
"FARMACIA FLORIDO LEDESMA",28.4425230298,-16.3325613891
"FARMACIA MORA GRILLO",28.4584317002,-16.257321078
"FARMACIA TOSTE",28.4642327425,-16.2629843583
"FARMACIA PARQUE LA GRANJA",28.4609397275,-16.2656047461
"FARMACIA VILLA ASCENSION",28.4689866042,-16.2770926463
"FARMACIA MARTIN RODRIGUEZ",28.4686323944,-16.2609012644
"FARMACIA PUENTE ZURITA",28.4681767924,-16.2642608824
"FARMACIA SALAMANCA",28.4702510159,-16.2618974888
"FARMACIA MARTIN IZQUIERDO",28.473308448,-16.255628414
"FARMACIA DIAZ DE VILLEGAS",28.4606686538,-16.2762934571
"FARMACIA MARTINEZ RODRIGUEZ",28.455046632,-16.2726930534
"FARMACIA CHAMBERI",28.4529231009,-16.2759509558
"FARMACIA GARCIGALL",28.4524033106,-16.2870650547
"FARMACIA DIAZ GONZALEZ",28.4545999824,-16.2886924515
"FARMACIA BERCEDO DUQUE",28.4567241708,-16.2864213429
"FARMACIA RODRIGUEZ DIEZ",28.4588250786,-16.2873371027
"FARMACIA EL CABO",28.4607858128,-16.2533390755
"FARMACIA MOTA DOMINGUEZ",28.46867199,-16.256472
"FARMACIA PLAZA DE LOS PATOS",28.4709983484,-16.2556173648
"FARMACIA GUANCHE",28.4679059473,-16.2610468937
"FARMACIA EVORA",28.4696108059,-16.2504832332
"FARMACIA EL PILAR",28.4705901621,-16.2527926983
"FARMACIA GARCIA GARCIA",28.4670725138,-16.2506363085
"FARMACIA LA MARINA",28.4681587304,-16.2479976598
"FARMACIA CASTILLO",28.4668798161,-16.2499062132
"FARMACIA SANTA CRUZ",28.4682446144,-16.2527869941
"FARMACIA EL NEGRITO",28.4664050035,-16.2490911531
"FARMACIA WEYLER WILDPRET",28.467714582,-16.2549848473
"FARMACIA COROMINAS",28.4663060865,-16.2561734969
"FARMACIA MOTA ARMAS",28.4665613201,-16.2521668285
"FARMACIA LA CONCEPCION",28.4643620282,-16.2494361989
