NOMBRE,GRAD_Y,GRAD_X
"CALA Y CAFE",28.4796066657,-16.2460344773
"ZUMERIA NOELIA",28.46128999,-16.271114
"COFRADIA DE PESCADORES",28.5049686552,-16.1893477798
"LA BODEGUILLA",28.4666815812,-16.260201426
"GUACHINCHE CANDELARIA",28.44548349,-16.29857572
"BAR RESTAURANTE SEMANSE",28.4608996284,-16.2990032522
ARKABA,28.4719973538,-16.2473219973
SNUUPY,28.42123827,-16.30170803
"HAMBURGUESERIA PIC-NIC",28.46783599,-16.260536
"HAMBURGUESERIA ANDROMEDA",28.44444499,-16.300224
"FRUIT ZUMERIA",28.4607815368,-16.2532374995
"PERRITOS CHISPAS",28.46174199,-16.273439
"CHICHIRIVICHE PERROS CALIENTES",28.4651768,-16.27151854
"CAFETERIA DORITA",28.4452606101,-16.2735584873
"MELITA SANTA CRUZ",28.47042658,-16.25743468
"BATI KI BATE",28.46808849,-16.25252551
"BAR RESTAURANTE CASA GLADYS",28.4459026136,-16.2825459659
"HELADERIA PECCATI DI GOLA",28.46780881,-16.25012941
"MIL Y UNA DELICIAS",28.46580906,-16.24824051
"EL CONDOR",28.4519918303,-16.2985395297
"EL CHIRINGUITO",28.46303399,-16.251811
"LA TUNA",28.4371821034,-16.2971856472
"PLAYA CASA AFRICA",28.5694820069,-16.2042683125
"EL MIRADOR",28.5746803752,-16.1884745386
"LA ROTONDA",28.4483029,-16.287666
"DRAGO TIO PINO",28.4596738839,-16.273053634
"ASADOR CAMPESINO",28.4719727753,-16.2687362444
"AREPERA LA GUAIRA",28.4469057,-16.29946042
"TABERNA LIZARRAN",28.45693099,-16.258118
"BODEGON PALMERO MONTERREY",28.46616568,-16.27066714
"BODEGON COLOMBINO",28.45192919,-16.29846386
"LA CAPILLA",28.4745948514,-16.2469311889
"PIZZERIA MERIDIANO",28.4742764965,-16.2469752757
"EL RINCON DE CADIZ",28.46757399,-16.250388
"MIRE USTED",28.46889293,-16.25379288
"EL TRIGO",28.4725172977,-16.2472392874
"LA TAGLIATELLA",28.47027108,-16.25111889
"CAFE CAKE HOME",28.46773899,-16.251738
"AYRES CAFE",28.46856062,-16.25212599
"EL COMPADRE",28.45751657,-16.29597859
ZIGZAG,28.46942338,-16.25180235
"CERVECERIA ENROQUE",28.46859794,-16.26131227
FIELATO,28.45169102,-16.28212361
"EL CLAUSTRO",28.46813399,-16.253559
"COPAS ROTAS",28.46757469,-16.25038872
"MI CHARCUTERIA",28.46767297,-16.2501969
"GRILL BAR",28.46232799,-16.251966
OLIBEN,28.47053542,-16.26472019
"LA COLINA",28.47061982,-16.26659615
"MACUSAMBA CAFE BAR",28.47403844,-16.25281392
"LOS BEJUMEROS",28.4551352648,-16.2982052187
"EL DESVAN",28.468211678,-16.2606291305
"CAFETERIA CJ",28.44654746,-16.29801697
"LA MANIGUA",28.45772178,-16.29579173
"LA FINISSIMA MAXI PIZZA",28.46635082,-16.26174273
"LA SURENA",28.45714499,-16.259147
"LA CASCADA",28.4533331826,-16.2551446503
FRANCHESCO,28.46847048,-16.25178515
WOWBLE,28.4572012892,-16.2583460789
IPALAN,28.45533909,-16.29590194
"ASADERO A LA BRASA EL CAMPESINO",28.45419899,-16.299135
"ASADOR DE POLLOS LAS PALMERAS",28.4431111,-16.31166519
"LA ROTONDA",28.42498905,-16.30276271
"LOS TRONCOS",28.46955343,-16.26097014
"KALUHA PUB",28.46679272,-16.26155247
"TONY ROMA S",28.45717199,-16.259052
"TABERNA RAMON",28.46940117,-16.25963876
"BODEGON BOMBAY",28.43955205,-16.29499268
"ZUMERIA ALBA",28.44655076,-16.29809893
"TASCA GARCIA",28.44759268,-16.29760259
TASCAITAPAS,28.46954352,-16.25950207
"TASCA LA MONTERIA",28.46842835,-16.25178176
"LA SACRISTIA",28.4744920866,-16.2469459239
"CERVECERIA WACON",28.43460795,-16.3197785
"LA ESQUINA",28.46601782,-16.24913019
"LA HIERBITA",28.46613301,-16.24974046
"MESON LOS ANGELES",28.46812043,-16.26369811
"EL COTO DE ANTONIO",28.46945673,-16.26078073
"SAN ROQUE",28.4841141504,-16.2457603958
"DE LA TIERRA EL MERO",28.47016999,-16.25017
"LAS DELICIAS",28.4664872994,-16.2526090638
"XIN XIN",28.46588507,-16.24870413
"BODEGUITA CANARIA",28.46590315,-16.24937443
WAIKIKI,28.46770416,-16.248287
"TASCA EL GALLEGO",28.45810999,-16.30203198
"LA MOLINERA",28.4679674006,-16.2597881286
"CHIP CHOP",28.468730814,-16.2640045258
"COMO DECIA MI PADRE",28.46601381,-16.32740671
"PLANETA ESPRESSO",28.4686053793,-16.2514545979
"MI DULCE ANGEL",28.4624976867,-16.2519157962
"LAS DELICIAS",28.45199841,-16.28107879
"LOS MACUMITOS",28.4347226392,-16.3196677897
"EL CORAL",28.44778306,-16.30121249
"SAN DIEGO",28.4669680452,-16.2579654321
"FORMULA I",28.4422273223,-16.2983105198
"EL RINCONCITO DE DALIA",28.4693640557,-16.253331011
"PATO LOCO",28.4648971072,-16.2765470701
"EL DUQUE",28.4679706066,-16.2516669978
"LA FLORITA",28.4599105806,-16.2746340336
"LA LLAVE",28.473022863,-16.2483274989
"EL MAYORAL",28.4674551054,-16.2602812384
"PURA FRUTA",28.4670337164,-16.2590455192
"CAFE TREBOL",28.4414828976,-16.2841739404
MIAREPA,28.4571853924,-16.2585396438
LOF-BERG,28.5034623503,-16.1931621949
"JONY MORO",28.4828259679,-16.2428774581
"LA ROSETA",28.4357188994,-16.3049850874
"EL LOCAL",28.465950197,-16.2488136203
"RASKA PIKA",28.4295065794,-16.310186778
"CAFETERIA GASOLINERA CEPSA",28.4365507652,-16.2820266911
"MINI TASCA BARRANCO GRANDE",28.4366241574,-16.3069138349
"CANTINA INTERNACIONAL",28.5094594601,-16.186146001
ARGIL,28.45262301,-16.28675445
"LA ESQUINA D GAMONAL",28.4660167103,-16.2491669868
"THE LOFT CAFE",28.4680532235,-16.2515546797
"PERRITOS JULIANA",28.4725233852,-16.2493797144
"CAFE GOIANO",28.4706186212,-16.2517132714
"LA TRAMONERA",28.4629206693,-16.2634799464
"KIOSCO EL ULTIMO",28.5108201851,-16.1815135705
"LANCELOT II",28.4398782411,-16.3180052395
"LOS ALISIOS",28.4274181214,-16.3056319511
"RESTAURANTE HU NUESTRA SENORA DE LA CANDELARIA",28.4486775532,-16.2851371254
CASADEMIA,28.474317806,-16.2523362099
"D TAPAS 26",28.468293456,-16.251518704
"HOT DOG SANTA CRUZ",28.4618124979,-16.2733594127
"CANTINA CAMPO FUTBOL GARCIA ESCAMEZ",28.4563087887,-16.2722455079
"EL GUSTO POR EL VINO",28.462899871,-16.2525251489
"LOS BALDIOS",28.4658279623,-16.326991712
"JMD SPORBAR",28.45442602,-16.29677528
MARVIC,28.4481062337,-16.2987228259
"MAXI BURGUER",28.4389233027,-16.3128783024
"RESTAURANTE AREPERA CANAIMA",28.4485247669,-16.2767632839
"PUB 330",28.466736432,-16.2610510362
"BAR EL CAN",28.4466940573,-16.2938563643
"EL PROVOCON",28.47577869,-16.24938205
"MESON DE BURGOS",28.44482899,-16.300237
"LA S NAGOGA",28.42368686,-16.33372583
"CARLO S BAR CAFE",28.46771696,-16.24801758
"LA PARADA",28.47575936,-16.24943859
"LA GARRIGA",28.46792658,-16.2523336
"TATTOO ART CAFE",28.4662366952,-16.250609723
"GUAYOYOS CAFE",28.46882725,-16.2504244
"ESTRELLAS DE HOLLYWOOD",28.4273280379,-16.3058200502
"FLOR DE GUACARA",28.4485926454,-16.3061325137
"PIZZERIA D MIMMO",28.4486206,-16.30584088
"CAFE DECATHLON",28.4612872669,-16.3047025108
MIRABAL,28.4446662622,-16.3000814042
"TURBO PIZZA ITALIA",28.44678699,-16.297875
"BANDA APARTE",28.46605765,-16.24937111
"PUB MALAVIDA",28.46597251,-16.24891252
TENEPIZZA,28.42686681,-16.30039653
"ZUMERIA GUARAPO",28.45908018,-16.30137741
"LA PANDORGA",28.5040104326,-16.1922101549
"LOS LEBRILLOS II",28.46311999,-16.271605
"BODEGON LA TELARANA",28.43021486,-16.30938921
"HAMBURGUESERIA LAS NIEVES",28.4437591984,-16.2974496221
"GRAN VIA",28.4417211112,-16.302069551
YOGURTLANDIA,28.46804413,-16.26100874
"TASCA MUNECO DE NIEVE",28.44856773,-16.30589686
"RESTAURANTE LA PALMA",28.442045614,-16.3252391863
"CHURRERIA TEMALOFRAN",28.4526315,-16.28662304
"SIETE VIDAS",28.47032199,-16.250091
"LA CAPILLA",28.46898637,-16.26335702
"LA OFICINA",28.46961248,-16.25326537
"EL TURPIAL",28.44803056,-16.30596121
"PUB SAGA",28.46876202,-16.26077521
"BURGER MEL",28.47012814,-16.26288073
"MISTER SMILE",28.4666803,-16.24918306
"LA TABERNA DE LA ALAMEDA",28.4673109697,-16.2481068838
CHURROMANIA,28.4569483072,-16.2586538554
"BOUTIQUE DEL PAN LETICIA",28.4673660444,-16.2534425375
"BAR CLUB COLOMBOFILO EL CABO",28.4607979556,-16.252779941
"ZUMERIA TAMARINDO",28.46286484,-16.25298103
"EL ZAPATA",28.4566190378,-16.2683351063
"DECO FRUTA",28.46739499,-16.257425
"ZUMERIA EL TRANVIA",28.45255488,-16.28080156
"VIVA MARIA",28.46820835,-16.25264091
"ZUMERIA TROPICANA",28.46938083,-16.26014233
"STRASSE PARK",28.4730478369,-16.2544862662
"HELADERIA 4D",28.45701199,-16.258069
"COSTA SUR 2",28.445960757,-16.2729875959
"HELADERIA CUCURUCHO",28.46891419,-16.27135671
"RESTAURANTE EL MAYORAZGO",28.4439782022,-16.2866155959
"EL RAMONAL",28.46427266,-16.2792133568
"PAN VIA",28.46743099,-16.257856
"CASA PICAR",28.5603212136,-16.2168884355
"GRAN TINERFE",28.43748299,-16.297075
"LA POSADA DEL PEZ",28.5036723402,-16.1929323246
"LAS BRISAS",28.46867659,-16.26238106
