FID,NOMBRE,TIPO,GEOCODIGO,DIRECCION,UTM_X,UTM_Y,GRAD_X,GRAD_Y
0.0,CENTRO DE ARTE LA RECOVA,Instalaciones culturales,CUL_016,PLAZA ISLA DE LA MADERA 1,377558.289712,3149413.74474,-16.2506688831,28.4655613179
1.0,TEATRO GUIMERA,Instalaciones culturales,CUL_015,CALEL IMELDO SERIS 29,377558.385747,3149456.91496,-16.25067249,28.4659509176
2.0,MUSEO MUNICIPAL DE BELLAS ARTES,Instalaciones culturales,CUL_013,CALLE JOSE MURPHY 12,377656.769916,3149715.31057,-16.2496951862,28.4682920506
3.0,BIBLIOTECA PUBLICA FEDERICO GARCIA LORCA DE OFRA,Instalaciones culturales,CUL_014,AVENIDA PRINCIPES DE ESPAÑA 6B,374246.664828,3148329.71764,-16.2843699865,28.4554634248
4.0,AUDITORIO DE TENERIFE ADAN MARTIN,Instalaciones culturales,CUL_012,AVENIDA LA CONSTITUCION 1,377499.946647,3148363.26772,-16.2511530486,28.4560757784
5.0,CENTRO INTERNACIONAL DE FERIAS Y CONGRESOS,Instalaciones culturales,CUL_011,AVENIDA LA CONSTITUCION 12,376852.169991,3148187.66046,-16.257749045,28.4544300122
6.0,MUSEO NATURALEZA Y EL HOMBRE,Instalaciones culturales,CUL_001,CALLE FUENTES MORALES 1,377663.818175,3149200.3257,-16.2495685246,28.4636452172
7.0,CASTILLO DE SAN JUAN,Instalaciones culturales,CUL_010,AVENIDA LA CONSTITUCION 3,377376.940459,3148293.09946,-16.252401661,28.455430985
8.0,BIBLIOTECA CASA DE LA CULTURA,Instalaciones culturales,CUL_002,CALLE  COMODORO ROLIN 1,376044.693563,3149310.00226,-16.2661151232,28.4644820825
9.0,TENERIFE ESPACIO DE LAS ARTES (TEA),Instalaciones culturales,CUL_004,AVENIDA SAN SEBASTIAN 10,377519.28017,3149234.86104,-16.2510482496,28.4639433139
10.0,SALA DE EXPOSICIONES LOS LAVADEROS,Instalaciones culturales,CUL_005,CALLE PINTOR JOSE AGUIAR 4,377403.484501,3150493.25035,-16.2523647055,28.4752887824
11.0,BIBLIOTECA PUBLICA JOSE SARAMAGO DE AÑAZA,Instalaciones culturales,CUL_006,RAMBLA AÑAZA 11,372638.334608,3144731.28932,-16.300395846,28.4228337871
12.0,LUDOTECA MUNICIPAL EL TROMPO,Instalaciones culturales,CUL_007,RAMBLA AÑAZA 9,372569.623033,3144712.91905,-16.3010952335,28.4226613048
13.0,BIBLIOTECA AZARUG,Instalaciones culturales,CUL_008,AVENIDA PRINCIPAL AÑAZA 7,372458.187317,3144645.18434,-16.3022252971,28.4220391636
14.0,"CENTRO SOCIO CULTURAL ""JORGE RAMON FRIAS""",Instalaciones culturales,CUL_009,AVENIDA BUENOS AIRES 70,377245.934577,3148905.61473,-16.253804649,28.4609463211
15.0,OFICINAS DE BIBLIOTECA MUNICIPAL,Instalaciones culturales,CUL_017,CALLE RUIZ DE PADRON 3,377671.731426,3149732.22197,-16.2495441849,28.4684460718
16.0,BIBLIOTECA MUNICIPAL CENTRAL (TEA),Instalaciones culturales,CUL_018,AVENIDA SAN SEBASTIAN 8,377597.522485,3149208.75258,-16.2502464462,28.4637150444
17.0,ESCUELA MUNICIPAL DE ARTE GRAFICO,Instalaciones culturales,CUL_019,CALLE MIRAFLORES 2,377551.254645,3149391.46584,-16.2507383604,28.4653596008
18.0,CASA DEL CARNAVAL,Instalaciones culturales,CUL_020,CALLE AGUERE 17,377029.601991,3149307.32489,-16.2560566919,28.464551177
19.0,SALA DE EXPOSICIONES GARCIA SANABRIA,Instalaciones culturales,CUL_021,PARQUE GARCIA SANARIA,377322.920875,3150084.07634,-16.2531439457,28.4715886091
