NOMBRE,GRAD_Y,GRAD_X
"POLICLLINICA DENTAL EL TABLERO",28.42360656,-16.33360916
"FARMACIA PAREDES GARCIA",28.43975999,-16.29821
"FARMACIA HERNANDEZ SANCHEZ",28.46613899,-16.327385
"FARMACIA CENTRAL",28.4255609,-16.30128708
"FARMACIA GONZALEZ DE CHAVEZ QUEVEDO",28.46748399,-16.258133
"FARMACIA MORENO TORRES",28.46894099,-16.277065
"FARMACIA PUENTE ZURITA",28.4681776,-16.26425912
"FARMACIA PEREZ BATISTA",28.42657699,-16.307081
"FARMACIA SANTA CRUZ",28.46823589,-16.25278373
"FARMACIA DIAZ DE VILLEGAS",28.46064399,-16.276318
"FARMACIA ROMERO DIAZ DE LOSADA",28.46718318,-16.25138536
"FARMACIA DORTA CONCEPCION",28.46436699,-16.249432
"FARMACIA SUAREZ PEREZ",28.47125999,-16.249493
"FARMACIA SANTANA PAGES",28.46963299,-16.271847
"FARMACIA GRACIA PIMIENTA",28.443217988,-16.3037747293
"FARMACIA KIM AHN",28.49413699,-16.226383
"FARMACIA MOTA DOMINGUEZ",28.468207016,-16.2479563069
"FARMACIA LA SALUD",28.46962578,-16.27166614
"FARMACIA MARTIN RODRIGUEZ",28.46865007,-16.26087163
"FARMACIA VELAZQUEZ DORTA",28.46064199,-16.253426
FISS,28.46223799,-16.251603
FITNESSMANIA,28.45894999,-16.255927
"HOSPITAL UNIVERSITARIO DE CANARIAS",28.4554814,-16.30404521
"HOSPITAL QUIRON TENERIFE",28.47088083,-16.26686955
"LABORATORIO ANALISIS CLINICOS NEGRIN",28.4475915,-16.29869156
PREVIMAC,28.46797129,-16.2538962
"CRUZ ROJA - ASAMBLEA PROVINCIAL SANTA CRUZ DE TENERIFE",28.46884924,-16.25235733
"OIR VITAL",28.46862951,-16.25318628
"CLINICA CAPOTE",28.47039256,-16.25855063
"HOSPITAL PARQUE",28.4703625071,-16.2537168757
"DERMATOLOGA ESTHER TEIS",28.46968715,-16.26119457
"CLINICA VETERINARIA SAN LUCAS",28.46850399,-16.252766
"CONSULTORIO VETERINARIO MARIA JIMENEZ",28.49558799,-16.226416
"HOSPITAL VETERINARIO HOSPIVET",28.42482379,-16.30283955
"CONSULTORIO VETERINARIO MASCOTAS BABY",28.4447530144,-16.3009169913
"CONSULTORIO VETERINARIO QUE FAUNA",28.47406799,-16.250217
"CLINICA VETERINARIA PUENTE ZURITA",28.46837759,-16.2649327
"CENTRO DE SALUD",28.46017799,-16.268139
"FARMACIA BARRIONUEVO MORAL",28.47228399,-16.277071
"FARMACIA MARTINEZ RODRIGUEZ",28.45504999,-16.272671
"FARMACIA SANZ DOBLADO",28.47285999,-16.248484
"FARMACIA LAS MORADITAS",28.44618217,-16.29076229
"CLINICA VETERINARIA LOS PRINCIPES",28.44847499,-16.287489
"CLINICA VETERINARIA VIRGEN DE CANDELARIA",28.45285662,-16.28444466
"CELTA DENT",28.42638807,-16.30141876
"RESIDENCIA 3 EDAD SANTA MARIA DE LA ASCENSION",28.4584766114,-16.2776537123
"POLICLINICA PARQUE LA GRANJA",28.4629208935,-16.2637325174
"CENTRO MEDICO TACO",28.44748499,-16.298423
CONSULTORIO,28.56121099,-16.215689
CONSULTORIO,28.50731299,-16.194595
"CENTRO DE SALUD",28.46664399,-16.270151
"CLINICA DENTAL",28.44416799,-16.300063
"CENTRO ESTETICO DENTAL GARCIA MARI",28.46672241,-16.26159353
"HOSPITAL DEL TORAX",28.4571565612,-16.2902150382
"FARMACIA ESTRELLA GIL",28.45331599,-16.299261
"FARMACIA GARCIA ACOSTA",28.44653538,-16.29776449
"FARMACIA MUNGUIA LOPEZ",28.46237199,-16.303818
"FARMACIA QUINTANA PLASENCIA",28.44876099,-16.305052
"FARMACIA GALVAN NAVARRO",28.45867499,-16.265522
"FARMACIA DOMINGUEZ BEAUTELL",28.46524326,-16.26998619
"FARMACIA ROSA MENDEZ",28.46623199,-16.259319
"FARMACIA GALVAN HENRIQUEZ",28.44552399,-16.289154
"FARMACIA GONZALEZ ARROYO",28.46756899,-16.260651
"FARMACIA RIVERA VILLALBA",28.46622099,-16.26683
"FARMACIA WILDPRET ZUGAZA",28.4677174,-16.25507446
"FISIOTERAPIA Y MASAJES ABEDAI",28.46570833,-16.27144467
"LABORATORIO ANALISIS CLINICOS GARCIA LOPEZ",28.46930548,-16.25325577
"JERLYS TERAPIAS CORPORALES",28.46868917,-16.26209137
"LABORATORIO ANALISIS CLINICOS SWISS LAB",28.46818054,-16.25819583
"CLINICA DENTAL ATAMAN",28.44926999,-16.298255
"CENTRO RECONOCIMIENTO MEDICO EL SOBRADILLO",28.43827909,-16.30897274
"CLINICA VETERINARIA ANAGA",28.47864199,-16.243641
"HOSPITAL VETERINARIO SAN ANTONIO",28.47339999,-16.252062
"CONSULTORIO VETERINARIO CABOLLANOS",28.45635999,-16.257353
"CONSULTORIO VETERINARIO LA GRANJA",28.46289999,-16.263628
"HOSPITAN VETERINARIO LOS MAJUELOS",28.43937492,-16.31742733
"CENTRO DE SALUD",28.42417899,-16.299986
"FARMACIA FERNANDEZ LOPEZ",28.45081618,-16.29951801
"FARMACIA MARIA JESUS HERNANDEZ",28.45535905,-16.2976706
"FARMACIA BERCEDO DUQUE",28.45674099,-16.286411
"FARMACIA DOMINGUEZ DEL TORO",28.45905699,-16.271669
"FARMACIA EL PILAR",28.47059823,-16.25276694
"FARMACIA DOMINGUEZ BEAUTELL",28.46517033,-16.27002951
"FARMACIA ESPINOSA SANTANA",28.4696664,-16.26992546
"FARMACIA BENCOMO DUQUE",28.42348699,-16.333183
"FARMACIA ELORRIETA BILBAO",28.46454599,-16.277475
"FARMACIA GONZALEZ ETAYO",28.47223499,-16.251955
"FARMACIA MOTA MORALEDA",28.45288299,-16.275953
"FARMACIA IVARS MARTINEZ",28.46615399,-16.274364
"FARMACIA MESTRES IZQUIERDO",28.47171399,-16.268852
"FARMACIA RODRIGEZ DIAZ",28.45014312,-16.28513589
"FARMACIA MARTIN-NEDA BUERGO",28.470982237,-16.2556274067
"FARMACIA MOTA DOMINGUEZ",28.46867199,-16.256472
"FARMACIA PESTANO GARCIA",28.48532699,-16.261925
"FARMACIA PELAEZ PARAMO",28.4738970832,-16.250709545
"FARMACIA SAAVEDRA PEREZ",28.47874099,-16.24334
"FARMACIA LUNO BEESE",28.48656299,-16.23724
"FARMACIA OFRA",28.45585427,-16.2810248
"FARMACIA SCHWARTZ CALERO",28.46092999,-16.265596
"CENTRO LOGISTICO DE EMERGENCIAS DE CANARIAS CRUZ ROJA ESPANOLA",28.4456092616,-16.2829700823
"LABORATORIO ANALISIS CLINICOS ESTEBAN VAQUERO",28.50492548,-16.19265683
"LABORATORIO ANALISIS CLINICOS GONZALEZ SANTIAGO",28.4700401,-16.25012397
"LABORATORIO ANALISIS CLINICOS GONZALEZ SANTIAGO",28.46653947,-16.26650666
"CENTRO DE FISIOTERAPIA SALAMANCA",28.46904646,-16.26364973
"CLINICA SCHERBA",28.46095331,-16.25409098
"CLINICA VETERINARIA VECAN",28.44789299,-16.301281
"CLINICA VETERINARIA MR DOG",28.4736827853,-16.2470680148
"CONSULTORIO VETERINARIO GARA TU PELUQUERIA CANINA",28.46647099,-16.257851
"CRUZ ROJA - PUESTO DE AMBULANCIAS",28.4688332502,-16.2524028032
"CLINICA DENTAL CRUZ DEL CASTILLO",28.4422984208,-16.3016606402
"DOCTOR ALVENTOSA MARTIN",28.4663275318,-16.25843372
