NOMBRE,GRAD_Y,GRAD_X
"POLICLLINICA DENTAL EL TABLERO",28.42360656,-16.33360916
"VIVIENDA VACACIONAL VV",28.4654022173,-16.249508348
"FRANCISCO FEBLES TORRES",28.46298799,-16.251762
"CALA Y CAFE",28.4796066657,-16.2460344773
"FERMON INDIS EL NEGRITO",28.4576028855,-16.3014918542
"ASIGNA COMUNICACION Y LOGISTICA CANARIAS",28.457472752,-16.3004908587
"ZUMERIA NOELIA",28.46128999,-16.271114
"COCINAS MIGUEL",28.44250852,-16.29806036
"ALMACENES PEREZ",28.44958041,-16.29573072
"COFRADIA DE PESCADORES",28.5049686552,-16.1893477798
"FARMACIA PAREDES GARCIA",28.43975999,-16.29821
"JUZGADOS DE INSTRUCCION",28.4600523272,-16.2511183551
"LOTO LOGISTICA TENERIFE",28.4576620584,-16.3014709352
"JUZGADOS DE LO CONTENCIOSO ADMINISTRATIVO",28.456747862,-16.2575509578
"LA CASA DE LAS MACETAS",28.4576904471,-16.3003968585
"BANG OLUFSEN",28.46095999,-16.253555
"SALAZONES CAIROS",28.4589847175,-16.3003672688
"JOYERIA CAMPOS TALLER",28.46828339,-16.27065546
"BICHARA TEXTIL",28.47011201,-16.26169141
"EL CORTINAZO",28.46828683,-16.26465307
"LA BODEGUILLA",28.4666815812,-16.260201426
"FARMACIA HERNANDEZ SANCHEZ",28.46613899,-16.327385
"BALMES SISTEMAS",28.45401712,-16.29744776
"YUMA ORTEGA Y ROSON",28.4596445044,-16.300055987
"CMS FOTOGRAFIAS",28.4591444079,-16.3002907289
"BEEP CANARIAS INFORMATICA",28.47036899,-16.249941
"FARMACIA CENTRAL",28.4255609,-16.30128708
"CANARAGUA AQUALOGY",28.4592553341,-16.3007581969
UNIVERSOMAC,28.46841008,-16.25529515
"FARMACIA GONZALEZ DE CHAVEZ QUEVEDO",28.46748399,-16.258133
"SUPERMERCADO MERCADONA",28.44460999,-16.301004
"FARMACIA MORENO TORRES",28.46894099,-16.277065
"GUACHINCHE CANDELARIA",28.44548349,-16.29857572
BAJOCOSTOPC.COM,28.46915973,-16.26333411
"FARMACIA PUENTE ZURITA",28.4681776,-16.26425912
"BAR RESTAURANTE SEMANSE",28.4608996284,-16.2990032522
"FARMACIA PEREZ BATISTA",28.42657699,-16.307081
"BASE OUTLET",28.44469599,-16.300097
"FARMACIA SANTA CRUZ",28.46823589,-16.25278373
TACORONTE,28.4403448004,-16.315040035
"VEGA Y GIJON",28.4420382798,-16.2817404538
"FARMACIA DIAZ DE VILLEGAS",28.46064399,-16.276318
"FARMACIA ROMERO DIAZ DE LOSADA",28.46718318,-16.25138536
"LA CASA DE MAGDA VV",28.5246989427,-16.1534776759
"JOYERIAS LA PERLA",28.44769699,-16.298572
"FARMACIA DORTA CONCEPCION",28.46436699,-16.249432
"FARMACIA SUAREZ PEREZ",28.47125999,-16.249493
"FARMACIA SANTANA PAGES",28.46963299,-16.271847
"FARMACIA GRACIA PIMIENTA",28.443217988,-16.3037747293
"JOYERIA GEMA NODA",28.46782899,-16.260447
"FARMACIA KIM AHN",28.49413699,-16.226383
"JOYERIA MARIA LUISA",28.47080838,-16.25155281
"TRANSPORTES QUINTANA Y DOMINGUEZ",28.4452550346,-16.2743992455
"PARADA DE TAXIS",28.4597604518,-16.251974215
"JOYERIA RELOJERIA TALLER",28.46419499,-16.271296
"FARMACIA MOTA DOMINGUEZ",28.468207016,-16.2479563069
"FARMACIA LA SALUD",28.46962578,-16.27166614
"FARMACIA MARTIN RODRIGUEZ",28.46865007,-16.26087163
"DISCOS SONORA",28.4670745814,-16.2537239002
"CASI TODO A 150",28.47033799,-16.249963
"FARMACIA VELAZQUEZ DORTA",28.46064199,-16.253426
"PATO KOSAS",28.46761099,-16.259981
,28.45279631,-16.28548278
"BURGUER PLAYA",28.46223799,-16.251603
,28.45894999,-16.255927
"TU PAPELERIA",28.44679699,-16.298242
"HOSPITAL UNIVERSITARIO DE CANARIAS",28.4554814,-16.30404521
"LIBRERIA PAPELERIA LOS MAJUELOS",28.44432507,-16.31001144
"CARMEN RODRIGUEZ ALBERTO BOLSA DEL AUTOMOVIL",28.4514732565,-16.2936245018
"HOSPITAL QUIRON TENERIFE",28.47088083,-16.26686955
"FAUSTINA DOLORES DELGADO MONTESINOS",28.46320499,-16.251743
"LABORATORIO ANALISIS CLINICOS NEGRIN",28.4475915,-16.29869156
PREVIMAC,28.46797129,-16.2538962
ADIDAS,28.46802708,-16.25265742
"VILLAR TRABAJOS VERTICALES CANARIOS TRAVERCA",28.4438503118,-16.2889317803
VACIO,28.4436538864,-16.289302234
"CRUZ ROJA - ASAMBLEA PROVINCIAL SANTA CRUZ DE TENERIFE",28.46884924,-16.25235733
INTERJUGUETES,28.4519718106,-16.2738100068
"TIENDAS DEPORTIVAS CANARIAS TDC",28.4461686693,-16.277345589
"EXCAN EXCLUSIVAS",28.4511372382,-16.2735414504
"MEGRAN VO SUBARU",28.4476115902,-16.2767252877
"OIR VITAL",28.46862951,-16.25318628
"CLINICA CAPOTE",28.47039256,-16.25855063
"HOSPITAL PARQUE",28.4703625071,-16.2537168757
"IGUANA ZOO",28.44840013,-16.3060544
"DISCOTECA AUDADE APARCAMIENTO",28.4543734983,-16.2682533203
"TALLER JUAN SOSA",28.4655627975,-16.2610080282
"INMOBILIARIA CANOA",28.4540792433,-16.268442016
ARKABA,28.4719973538,-16.2473219973
"DERMATOLOGA ESTHER TEIS",28.46968715,-16.26119457
SAMMIC,28.454020436,-16.2700118451
"TECNOLOGIA DE SEGURIDAD DE CANARIAS TECSECAN",28.453241306,-16.2691089391
"ARNALDO CAMACHO GONZALEZ ARCEJE",28.4478215224,-16.2768257465
"AUDIO VIDEO PRO CANARIAS",28.4484272407,-16.2768140584
"GESTIONES DEPORTIVAS Y COMPETICIONES",28.4458894695,-16.2773258963
"SOMOS IMAGEN",28.4457608925,-16.2774062456
"BISERVICUS SISTEMAS DE SEGURIDAD",28.4487064079,-16.276661571
"SE ALQUILA NAVE",28.4574161943,-16.3010354138
"ELIAS REYES PEREZ",28.46275799,-16.251599
"CONFECCIONES EL 99",28.44608199,-16.29911
"COMERCIAL ELECTRICA DE CANARIAS COELCA",28.447520997,-16.295898152
"ENCUENTRO MODA",28.44679599,-16.298173
"COMERCIAL ELECTRICA DE CANARIAS COELCA",28.4470166992,-16.295888814
"CLINICA VETERINARIA SAN LUCAS",28.46850399,-16.252766
"FRESINCO BEBIDAS",28.4470145775,-16.2961309354
"LUZ Y CIA",28.4484046198,-16.2945101029
"CONSULTORIO VETERINARIO MARIA JIMENEZ",28.49558799,-16.226416
"NAVE VACIA",28.4471750549,-16.2971543225
"TRANSTEIDE SOURIER MRW",28.446783704,-16.2955298536
"GARCIA DE POU",28.4431525615,-16.2863423913
"IREAUTO 2000",28.4435743729,-16.2865957919
"HOSPITAL VETERINARIO HOSPIVET",28.42482379,-16.30283955
"CONSULTORIO VETERINARIO MASCOTAS BABY",28.4447530144,-16.3009169913
AMICHI,28.45877799,-16.256392
"MARMOLES PEREZ LOPEZ",28.4434102975,-16.2866093936
"CONSULTORIO VETERINARIO QUE FAUNA",28.47406799,-16.250217
"ANNIE MODAS",28.44466799,-16.299909
"CLINICA VETERINARIA PUENTE ZURITA",28.46837759,-16.2649327
"EL KILO LANCER TEXTILES",28.4543035325,-16.2695987278
"ANABET LENCERIA Y LABORES",28.4683632,-16.25178099
SNUUPY,28.42123827,-16.30170803
"BLUE MOON",28.46646004,-16.25057378
NAHIE,28.46846899,-16.253347
"IES LAS INDIAS",28.4686289237,-16.2748356468
"LOCAL DISPONIBLE",28.45883199,-16.255889
"MARIA DEL ROSARIO SALCEDO ALVAREZ",28.46284799,-16.252245
"COMPLEMENTOS TEVA",28.44460199,-16.299963
"HAMBURGUESERIA PIC-NIC",28.46783599,-16.260536
"COCO NAILS",28.42670059,-16.30121538
"HAMBURGUESERIA ANDROMEDA",28.44444499,-16.300224
"CORTO MALTESE TALLAS GRANDES",28.42660872,-16.30074526
"MAGENS MUDANZAS INTERNACIONALES",28.4545629316,-16.2676768124
"ADMINISTRACION DE LOTERIAS N 23",28.45232101,-16.28070139
"BOUTIQUE DANIEL",28.46767581,-16.2546461
URBASER,28.4546712774,-16.2678424102
"CHELO PRONTO MODA",28.46573199,-16.26992575
ELEGANCE-SWATCH,28.45675399,-16.259749
KAORY,28.45854099,-16.256149
EXTRAVAGANZA,28.44423899,-16.300207
DIALTE,28.438795684,-16.2833630704
"PAPELERA DE CANARIAS",28.452014109,-16.2688127653
LOHER,28.47032299,-16.252568
"INSYTE INSTALACIONES",28.4386492608,-16.2834036813
IMESAPI,28.4455532127,-16.2746914689
"SUCESORES DE MIGUEL HERREROS",28.4440881999,-16.279753571
"ATLANTIC CANARIAS",28.4459778036,-16.2734964879
"ESTHER COMPLEMENTOS",28.46653987,-16.2705651
"VEOLIA WATER SYSTEMS IBERICA",28.4385228497,-16.2834395829
"DOKET CANARIAS",28.4486783504,-16.2743219825
"TALLER NAUTICA",28.4457491051,-16.2751711741
"LUCIA LEAL MODA",28.46768882,-16.25440354
JONAY,28.4673401813,-16.2604928981
"MODAS MABE",28.44433899,-16.300158
"FRUIT ZUMERIA",28.4607815368,-16.2532374995
OUTLET,28.46909255,-16.25403133
"POLLOS ASADOS NANO",28.4607692227,-16.2560248712
OYSHO,28.45722499,-16.259363
PARFOIS,28.46736715,-16.25346301
"PANIFICADORA SAN MIGUEL",28.4474386936,-16.3198890352
"PATRICIA CUESTA",28.46898888,-16.25279326
"RECAMBIOS VALLADARES",28.4593958076,-16.2977831872
"M SUNDER",28.42668485,-16.30158619
"COOPERATIVA FARMACEUTICA DE TENERIFE COFARTE",28.4582656547,-16.2980745689
"NOVEDADES LUZMY",28.46955085,-16.2634425
"COOPERATIVA FARMACEUTICA DE TENERIFE COFARTE",28.4581379985,-16.2989409241
"ZONA ZERO",28.45713899,-16.25876
"GRUPO GUILLERMO RAHNU",28.4573281604,-16.2996046087
"THE HAPPY COLOURS",28.4685459,-16.25136529
"GRUPO GUILLERMO RAHNU",28.4572191396,-16.2983582273
"MODAS YIYI",28.45263542,-16.28639551
"JOSENCHEZ PENATE JSP",28.4570997998,-16.2967122615
"TRISQUEL ADORNARTE",28.46890981,-16.25392909
"RAHN STAR MERCEDES",28.4574016758,-16.2989353968
"PERRITOS CHISPAS",28.46174199,-16.273439
"VILELLA DISTRIBUCION 3000",28.4570245868,-16.2993415578
"INMOBILIARIA EUROPA",28.44484799,-16.300071
"AGENCIA DE ADUANAS CARLOS DOMINGUEZ LOPEZ",28.4434953987,-16.2846720354
"GESTORIA INMOBILIARIA TENORIO",28.4656967,-16.26892465
"AP PHOTO CANARIAS",28.4436004417,-16.2851072382
"CONTEL INGENIEROS",28.4431183852,-16.2841349193
"CHICHIRIVICHE PERROS CALIENTES",28.4651768,-16.27151854
"ABUELA LALA",28.46910899,-16.252872
"INCOCAN SERVICIOS INTEGRALES",28.4431375977,-16.2846289196
"DOMINGO GARCIA Y VIDAL",28.454984465,-16.2679639745
"CASCABEL BABY",28.46908267,-16.25387339
"IREAUTO 2000",28.4434997532,-16.2861328139
"INMOBILIARIA OASIS",28.46844016,-16.25432388
JUMASA,28.4432043005,-16.2850480565
"PROMOTORA INMOBILIARIA",28.43829781,-16.3089142
"FCC LOGISTICA",28.4561985,-16.30374187
"AL SESGO COSTURA",28.46945546,-16.26329536
URBASER,28.4549532312,-16.2681534327
"GOTAS DE AGUA",28.4537143109,-16.2686149581
"CAFETERIA DORITA",28.4452606101,-16.2735584873
"KMZERO TENERIFE",28.455108188,-16.2964960275
"SPAIN-TIR TRANSPORTES INTERNACIONALES",28.4218333,-16.31869102
"ORION SERVICIOS DE OFICINAS E INFORMATICA",28.4544052617,-16.2665868074
"TOYCASA TORRES Y CALERO",28.4545973011,-16.2936380424
"AUTOMOTOR CANARIASU PEUGEOT",28.4455899132,-16.2858273232
"ASM TRANSPORTES",28.45230404,-16.28231353
HYDROLIA,28.4439126484,-16.2812627705
"MEGALATINA FM",28.4532598011,-16.2973054841
"SE ALQUILA NAVE",28.4527307799,-16.2961467491
"SUMINISTROS DE ZOOTECNIA",28.4531804139,-16.2972459259
"SUPERMERCADO DEL MOTORISTA",28.452901135,-16.2974952475
"RED ELECTRICA DE ESPANA",28.4429864347,-16.2835349442
GAES,28.46771887,-16.2547026
"AG Y ASOCIADOS IMPOCAN",28.4423218735,-16.2836345481
"OPTICA CENTRAL",28.46738899,-16.257343
"SEGUROS AXA",28.4459588,-16.30896186
"ORTOPEDIA TECNICA 2001",28.46180499,-16.252943
FARMAPARQUE,28.45639999,-16.258666
"SEGUROS ALLIANZ",28.46240999,-16.251446
"MELITA SANTA CRUZ",28.47042658,-16.25743468
EQUIVALENZA,28.42646531,-16.30099667
"SEGUROS SANTA LUCIA",28.46820648,-16.2710657
"PERFUMERIA SAINT TROPEZ",28.46781799,-16.250203
"SEGUROS RIVAS",28.44679099,-16.298491
"COCINAS BELICAR",28.45863214,-16.30127549
"PRIMERA IGLESIA EVANGELICA BAUTISTA TENERIFE",28.4647265352,-16.2670679102
"ASCENSORES COSECAN",28.4443449569,-16.2825282736
DALAMAL,28.46689663,-16.25003222
"ABM REXELU",28.4542466043,-16.2690930721
"HTN MOVISTAR TACO",28.44676799,-16.298561
"FUENTES PEREZ ASESORES",28.45771052,-16.29597633
