NOMBRE,GRAD_Y,GRAD_X
DUGGI,28.466051062,-16.2597260927
"PARQUE DON QUIJOTE",28.4606831771,-16.2590467045
"PLAZA LA VICTORIA",28.458981851,-16.2598991093
"PARQUE LA GRANJA COROCORD",28.4626317307,-16.2662361762
"LAS ACACIAS",28.4730088883,-16.2653132316
"ASOCIACION DE VECINOS LOS CAMPITOS",28.4861999669,-16.263378454
"RESIDENCIAL ANAGA I",28.4801279445,-16.2442392882
"RESIDENCIAL ANAGA II",28.4798240546,-16.2442022595
"SANTIAGO APOSTOL",28.470087138,-16.2784606486
"SARGENTOS PROVISIONALES",28.4509589284,-16.2887417582
"VIA CORNISA",28.4720954116,-16.2765980481
"SIMON BOLIVAR",28.460995986,-16.2745548342
"TIO PINO",28.4608681041,-16.2729856336
SOMOSIERRA,28.4578505095,-16.2721910565
SOMOSIERRA-GLADIOLOS,28.4589758015,-16.2699397632
MIRAMAR,28.4526998836,-16.2773417577
"MATTOS Y AZOFRA",28.4575782071,-16.2734732491
"IGLESIA CRUZ DEL SENOR",28.4650759926,-16.2716745719
"IGLESIA SOBRADILLO",28.4397412895,-16.3231268628
"MUNECO DE NIEVE",28.446482742,-16.3107484467
"PARCELA 444",28.4442843758,-16.3107707795
"RESIDENCIAL EUCALIPTUS",28.4463450202,-16.3121531577
"SIMON RUEDA",28.4428487011,-16.3135044773
"ANAZA I",28.4245892432,-16.2965217746
"ANAZA III CORREOS",28.425836219,-16.2984936457
TAMARAN,28.4261169563,-16.3050574307
"CUEVA BERMEJA",28.4961518848,-16.2151517261
"IGUESTE SAN ANDRES",28.525245091,-16.1536704754
"GARCIA ESCAMEZ",28.4554692847,-16.2727203976
"EL TABLERO II",28.4176879634,-16.3284372816
"LA GALLEGA I",28.4311585674,-16.318236971
"LLANO DEL MORO",28.4407416886,-16.3350913807
"PLAZA SANTA CLARA",28.4545566313,-16.2871666677
"RAMBLA SANTA CRUZ N 9",28.4683479487,-16.2609872513
"RAMBLA SANTA CRUZ N 19",28.4687357781,-16.2605996171
"RAMBLA SANTA CRUZ N 49",28.4704786705,-16.2588257624
"RAMBLA SANTA CRUZ N 90",28.4708394991,-16.2584257649
"RAMBLA SANTA CRUZ N 98",28.4714890851,-16.2575079613
"MARIA JIMENEZ I",28.4950153695,-16.226324483
"RAMBLA SANTA CRUZ N 126",28.4747580835,-16.2516412037
"RAMBLA SANTA CRUZ N 140",28.4752593257,-16.250300838
"REYES CATOLICOS N 12",28.4600330614,-16.2639223167
"REYES CATOLICOS N 33",28.4606714985,-16.2638101467
"REYES CATOLICOS N 27",28.4613486001,-16.2635557024
"REYES CATOLICOS N 17",28.4628158117,-16.2631448746
"REYES CATOLICOS N 15",28.4631828171,-16.2630217468
"SANTA CRUZ DEL NORTE",28.4691516699,-16.2542382049
"TINCER II",28.4467009788,-16.3048251108
"TINCER I",28.4436475196,-16.3042142039
"EL ROSARITO",28.4404517079,-16.3014397475
SUCULUM,28.5122094946,-16.1888044422
